Ranking per year,Released,Title,Source,"Production
Budget","Opening Weekend
Revenue","Domestic
Box Office","Infl. Adj. Dom.
Box Office","International
Box Office","Worldwide
Box Office"
14,"Nov 3, 2000",Charlie's Angels,Based on TV,"$90,000,000","$40,128,550","$125,305,545","$211,585,489","$134,430,545","$259,736,090"
15,"Dec 27, 2000",Traffic,Based on TV,"$48,000,000","$184,725","$124,107,476","$199,785,980","$84,192,524","$208,300,000"
16,"Jul 28, 2000",Nutty Professor II: The Klumps,Remake,"$84,000,000","$42,518,830","$123,307,945","$208,411,010","$43,000,000","$166,307,945"
17,"Jun 2, 2000",Big Momma's House,Original Screenplay,"$33,000,000","$25,661,041","$117,559,438","$198,695,076","$56,000,000","$173,559,438"
18,"Sep 29, 2000",Remember the Titans,Based on Real Life Events,"$30,000,000","$20,905,831","$115,654,751","$195,321,944","$21,051,932","$136,706,683"
19,"Jun 28, 2000",The Patriot,Original Screenplay,"$110,000,000","$22,413,710","$113,330,342","$191,547,197","$101,969,658","$215,300,000"
20,"Dec 22, 2000",Miss Congeniality,Original Screenplay,"$45,000,000","$13,853,686","$106,807,667","$175,650,939","$106,613,284","$213,420,951"
21,"Jun 21, 2000",Chicken Run,Original Screenplay,"$42,000,000","$17,506,162","$106,793,915","$180,499,546","$121,000,000","$227,793,915"
22,"Jun 9, 2000",Gone in 60 Seconds,Remake,"$103,300,000","$25,336,048","$101,643,008","$171,793,647","$131,000,000","$232,643,008"
23,"Nov 22, 2000",Unbreakable,Original Screenplay,"$73,243,106","$30,330,771","$94,999,143","$160,164,067","$153,100,000","$248,099,143"
24,"Jun 23, 2000","Me, Myself & Irene",Original Screenplay,"$51,000,000","$24,209,385","$90,570,999","$153,080,104","$58,700,000","$149,270,999"
25,"Aug 4, 2000",Space Cowboys,Original Screenplay,"$65,000,000","$18,093,776","$90,454,043","$152,860,316","$38,420,000","$128,874,043"
26,"Dec 15, 2000",The Emperor's New Groove,Original Screenplay,"$100,000,000","$9,812,302","$89,296,573","$147,823,260","$80,000,000","$169,296,573"
27,"Feb 4, 2000",Scream 3,Original Screenplay,"$40,000,000","$34,713,342","$89,138,076","$150,658,228","$72,700,000","$161,838,076"
28,"Apr 21, 2000",U-571,Original Screenplay,"$62,000,000","$19,553,310","$77,086,030","$130,288,259","$50,544,000","$127,630,030"
29,"Nov 17, 2000",Rugrats in Paris,Based on TV,"$30,000,000","$22,718,184","$76,501,438","$128,873,212","$26,783,375","$103,284,813"
30,"Dec 22, 2000",The Family Man,Original Screenplay,"$60,000,000","$15,104,055","$75,764,085","$125,423,938","$48,951,778","$124,715,863"
31,"Aug 4, 2000",Hollow Man,Original Screenplay,"$90,000,000","$26,414,386","$73,209,340","$123,736,001","$117,990,660","$191,200,000"
32,"Dec 15, 2000",Chocolat,Based on Fiction Book/Short Story,"$25,000,000","$157,624","$71,309,760","$115,118,524","$81,190,583","$152,500,343"
33,"Jun 16, 2000",Shaft,Remake,"$53,012,938","$21,714,757","$70,327,868","$118,865,832","$36,862,240","$107,190,108"
34,"Jul 7, 2000",The Kid,Original Screenplay,"$65,000,000","$12,687,726","$69,688,384","$117,785,003",$0,"$69,688,384"
35,"May 19, 2000",Road Trip,Original Screenplay,"$16,000,000","$15,484,004","$68,525,609","$115,819,721","$51,213,501","$119,739,110"
36,"Dec 8, 2000",Vertical Limit,Original Screenplay,"$75,000,000","$15,507,845","$68,473,360","$114,393,550","$145,026,640","$213,500,000"
37,"Nov 22, 2000",102 Dalmatians,Based on Fiction Book/Short Story,"$85,000,000","$19,883,351","$66,941,559","$112,448,565",$0,"$66,941,559"
38,"Apr 7, 2000",Rules of Engagement,Based on Fiction Book/Short Story,"$60,000,000","$15,011,181","$61,322,858","$103,645,864","$10,397,073","$71,719,931"
39,"Aug 18, 2000",The Cell,Original Screenplay,"$35,000,000","$17,515,050","$61,280,963","$103,575,052","$24,630,263","$85,911,226"
40,"Mar 10, 2000",Mission to Mars,Original Screenplay,"$90,000,000","$22,855,247","$60,874,615","$102,888,258","$45,125,385","$106,000,000"
41,"Aug 4, 2000",Coyote Ugly,Based on Real Life Events,"$45,000,000","$17,319,282","$60,786,269","$102,738,936","$53,130,205","$113,916,474"
42,"Feb 18, 2000",The Whole Nine Yards,Original Screenplay,"$24,000,000","$15,915,676","$57,262,492","$96,783,164","$28,265,375","$85,527,867"
43,"May 26, 2000",Shanghai Noon,Original Screenplay,"$55,000,000","$19,647,065","$56,932,305","$96,225,095","$14,257,530","$71,189,835"
44,"Mar 22, 2000",Romeo Must Die,Original Screenplay,"$25,000,000","$18,014,503","$55,973,336","$94,604,280","$35,063,424","$91,036,760"
45,"Mar 17, 2000",Final Destination,Original Screenplay,"$23,000,000","$10,015,822","$53,302,314","$90,089,810","$58,734,556","$112,036,870"
46,"Dec 19, 2000",Finding Forrester,Original Screenplay,"$43,000,000","$701,207","$51,768,623","$83,751,154","$28,245,000","$80,013,623"
47,"Mar 31, 2000",The Road to El Dorado,Original Screenplay,"$95,000,000","$12,846,652","$50,802,661","$85,864,975","$14,897,339","$65,700,000"
48,"Nov 10, 2000",Men of Honor,Based on Real Life Events,"$32,000,000","$13,339,465","$48,814,909","$82,400,333","$33,524,574","$82,339,483"
49,"Feb 11, 2000",The Tigger Movie,Spin-Off,"$20,000,000","$9,427,532","$45,542,421","$76,974,289","$50,605,267","$96,147,688"
50,"Dec 22, 2000","O Brother, Where Art Thou?",Based on Folk Tale/Legend/Fairytale,"$26,000,000","$195,104","$45,506,619","$73,400,882","$30,257,195","$75,763,814"
51,"Apr 28, 2000",Frequency,Original Screenplay,"$31,000,000","$9,025,584","$44,983,704","$76,029,965","$23,095,967","$68,079,671"
52,"Aug 11, 2000",The Replacements,Original Screenplay,"$50,000,000","$11,039,214","$44,737,059","$75,613,091","$5,317,452","$50,054,511"
53,"Jul 21, 2000",Pokemon 2000,Based on TV,"$30,000,000","$19,575,608","$43,746,923","$73,939,602","$90,200,000","$133,946,923"
54,"Feb 11, 2000",The Beach,Based on Fiction Book/Short Story,"$50,000,000","$15,277,921","$39,778,599","$67,232,474",$0,"$39,778,599"
55,"Nov 10, 2000",Little Nicky,Original Screenplay,"$80,000,000","$16,063,904","$39,442,871","$66,617,112","$18,827,520","$58,270,391"
56,"Feb 18, 2000",Pitch Black,Original Screenplay,"$23,000,000","$14,015,741","$39,235,088","$66,313,849","$13,947,000","$53,182,088"
57,"Oct 20, 2000",Bedazzled,Remake,"$48,000,000","$13,106,526","$37,879,996","$63,994,425","$52,496,228","$90,376,224"
58,"Aug 11, 2000",Autumn in New York,Original Screenplay,"$40,000,000","$10,987,006","$37,752,931","$63,808,754","$52,964,753","$90,717,684"
59,"Apr 14, 2000",Keeping the Faith,Original Screenplay,"$29,000,000","$8,078,671","$37,036,404","$62,597,698","$8,300,000","$45,336,404"
60,"Apr 14, 2000",28 Days,Original Screenplay,"$43,000,000","$10,310,672","$37,035,515","$62,596,204","$25,028,457","$62,063,972"
61,"Nov 17, 2000",Bounce,Original Screenplay,"$35,000,000","$11,423,716","$36,805,288","$62,196,603","$16,620,004","$53,425,292"
62,"Feb 18, 2000",Hanging Up,Original Screenplay,"$40,000,000","$15,710,411","$36,037,909","$60,910,079","$15,829,814","$51,867,723"
63,"Apr 28, 2000",The Flintstones in Viva Rock Vegas,Based on TV,"$58,000,000","$10,518,435","$35,231,365","$59,546,886","$24,200,000","$59,431,365"
64,"Mar 31, 2000",The Skulls,Original Screenplay,"$15,000,000","$11,034,885","$35,007,180","$59,167,974",$0,"$35,007,180"
65,"Dec 22, 2000",Thirteen Days,Based on Real Life Events,"$80,000,000","$46,668","$34,566,746","$55,663,722","$31,987,801","$66,554,547"
66,"Nov 17, 2000",The 6th Day,Original Screenplay,"$82,000,000","$13,020,883","$34,543,701","$58,366,385","$61,481,197","$96,024,898"
67,"Apr 28, 2000",Where the Heart Is,Based on Fiction Book/Short Story,"$15,000,000","$8,292,939","$33,771,174","$57,078,915","$7,090,880","$40,862,054"
68,"Oct 20, 2000",Pay it Forward,Based on Fiction Book/Short Story,"$40,000,000","$9,631,359","$33,508,922","$56,591,894","$22,187,783","$55,696,705"
69,"Dec 22, 2000",Dracula 2000,Original Screenplay,"$28,000,000","$8,636,567","$33,000,377","$54,854,508",$0,"$33,000,377"
70,"Apr 7, 2000",Return to Me,Original Screenplay,"$24,000,000","$7,820,836","$32,662,299","$55,204,732",$0,"$32,662,299"
71,"Dec 8, 2000",Proof of Life,Based on Factual Book/Article,"$65,000,000","$10,207,869","$32,598,931","$54,811,773","$30,162,074","$62,761,005"
72,"Sep 15, 2000",Almost Famous,Original Screenplay,"$60,000,000","$2,314,646","$32,522,352","$54,921,165","$14,848,839","$47,371,191"
73,"Nov 3, 2000",The Legend of Bagger Vance,Based on Fiction Book/Short Story,"$60,000,000","$11,516,712","$30,695,227","$51,880,056","$8,540,259","$39,235,486"
74,"Aug 25, 2000",The Art of War,Original Screenplay,"$40,000,000","$10,410,993","$30,199,105","$51,041,526",$0,"$30,199,105"
75,"Aug 11, 2000",Bless the Child,Based on Fiction Book/Short Story,"$40,000,000","$9,413,684","$29,374,178","$49,647,259","$11,061,516","$40,435,694"
76,"Sep 8, 2000",The Watcher,Original Screenplay,"$33,000,000","$9,062,295","$28,946,615","$48,924,608","$18,321,214","$47,267,829"
77,"Apr 21, 2000",Love and Basketball,Original Screenplay,"$15,000,000","$8,139,180","$27,441,122","$46,380,076","$268,503","$27,709,625"
78,"Mar 31, 2000",High Fidelity,Based on Fiction Book/Short Story,"$20,000,000","$6,429,107","$27,277,055","$46,102,777","$20,604,608","$47,881,663"
79,"Oct 27, 2000",Book of Shadows: Blair Witch 2,Original Screenplay,"$15,000,000","$13,223,887","$26,421,314","$44,656,427","$21,300,000","$47,721,314"
80,"Jun 30, 2000",The Adventures of Rocky & Bullwinkle,Based on TV,"$76,000,000","$6,814,270","$26,000,610","$43,945,365","$9,129,000","$35,129,610"
81,"Sep 8, 2000",Nurse Betty,Original Screenplay,"$24,000,000","$7,145,950","$25,170,054","$42,541,586","$2,562,312","$27,732,366"
82,"Feb 25, 2000",Reindeer Games,Original Screenplay,"$36,000,000","$8,128,356","$23,360,779","$39,483,615",$0,"$23,360,779"
83,"Jun 16, 2000",Titan A.E.,Original Screenplay,"$75,000,000","$9,376,845","$22,751,979","$38,454,640","$14,000,000","$36,751,979"
84,"Jun 16, 2000",Boys and Girls,Original Screenplay,"$16,000,000","$7,008,950","$21,799,652","$36,845,049",$0,"$21,799,652"
85,"May 12, 2000",Battlefield Earth: A Saga of the Year…,Based on Fiction Book/Short Story,"$80,000,000","$11,548,898","$21,471,685","$36,290,733","$8,253,978","$29,725,663"
86,"Sep 22, 2000",Urban Legends: Final Cut,Original Screenplay,"$15,000,000","$8,505,513","$21,468,807","$36,285,868","$17,105,555","$38,574,362"
87,"Feb 23, 2000",Wonder Boys,Based on Fiction Book/Short Story,"$35,000,000","$5,808,919","$19,389,454","$32,762,985","$14,033,031","$33,422,485"
88,"Mar 10, 2000",The Ninth Gate,Original Screenplay,"$38,000,000","$6,622,518","$18,653,746","$31,527,943","$39,740,562","$58,394,308"
89,"Nov 10, 2000",Red Planet,Original Screenplay,"$80,000,000","$8,721,296","$17,480,890","$29,528,234","$15,983,079","$33,463,969"
90,"May 19, 2000",Small Time Crooks,Original Screenplay,"$18,000,000","$3,880,723","$17,266,359","$29,183,029","$12,668,118","$29,934,477"
91,"May 12, 2000",Center Stage,Original Screenplay,"$18,000,000","$4,604,621","$17,200,925","$29,072,433","$4,160,184","$21,361,109"
92,"Oct 13, 2000",Lost Souls,Original Screenplay,"$28,000,000","$7,954,766","$16,779,636","$28,360,387","$14,540,657","$31,320,293"
93,"Jan 28, 2000",Eye of the Beholder,Original Screenplay,"$15,000,000","$5,959,447","$16,500,786","$27,889,081","$1,760,079","$18,260,865"
94,"Jul 26, 2000",Thomas and the Magic Railroad,Based on Fiction Book/Short Story,"$19,000,000","$4,154,932","$15,911,332","$26,892,802",$0,"$15,911,332"
95,"Dec 22, 2000",All the Pretty Horses,Based on Fiction Book/Short Story,"$45,000,000",$0,"$15,527,125","$25,607,563","$2,593,142","$18,120,267"
96,"Jul 21, 2000",Loser,Original Screenplay,"$20,000,000","$6,008,611","$15,464,026","$26,136,781","$2,786,080","$18,250,106"
97,"Mar 3, 2000",Drowning Mona,Original Screenplay,"$16,000,000","$5,802,229","$15,427,192","$26,074,524","$553,184","$15,980,376"
98,"Sep 15, 2000",Bait,Original Screenplay,"$35,000,000","$5,485,591","$15,325,127","$25,902,017","$146,842","$15,471,969"
99,"Dec 8, 2000",Dungeons and Dragons,Based on Game,"$35,000,000","$7,237,422","$15,185,241","$25,590,236","$18,586,724","$33,771,965"
100,"Mar 3, 2000",The Next Best Thing,Original Screenplay,"$25,000,000","$5,870,387","$14,983,572","$25,324,734","$9,372,190","$24,355,762"
1,"Nov 16, 2001",Harry Potter and the Sorcerer’s Stone,Based on Fiction Book/Short Story,"$125,000,000","$90,294,621","$317,871,467","$510,437,208","$657,176,139","$975,047,606"
2,"Dec 19, 2001",The Lord of the Rings: The Fellowship…,Based on Fiction Book/Short Story,"$109,000,000","$47,211,490","$315,544,750","$502,999,394","$571,666,235","$887,210,985"
3,"Nov 2, 2001","Monsters, Inc.",Original Screenplay,"$115,000,000","$62,577,067","$289,423,425","$449,635,428","$270,334,294","$559,757,719"
4,"May 18, 2001",Shrek,Based on Fiction Book/Short Story,"$50,000,000","$42,347,760","$267,655,011","$430,801,615","$224,157,783","$491,812,794"
5,"Aug 3, 2001",Rush Hour 2,Original Screenplay,"$90,000,000","$67,408,222","$226,164,286","$364,020,605","$121,261,546","$347,425,832"
6,"May 4, 2001",The Mummy Returns,Remake,"$98,000,000","$68,139,035","$202,007,640","$325,139,498","$233,032,755","$435,040,395"
7,"May 25, 2001",Pearl Harbor,Based on Real Life Events,"$151,500,000","$59,078,912","$198,539,855","$319,557,956","$250,700,000","$449,239,855"
8,"Dec 7, 2001",Ocean's Eleven,Remake,"$85,000,000","$38,107,822","$183,417,150","$293,910,473","$267,311,379","$450,728,529"
9,"Jul 18, 2001",Jurassic Park III,Based on Fiction Book/Short Story,"$93,000,000","$50,771,645","$181,166,115","$291,594,219","$184,733,885","$365,900,000"
10,"Jul 27, 2001",Planet of the Apes,Remake,"$100,000,000","$68,532,960","$180,011,740","$289,729,129","$182,200,000","$362,211,740"
11,"Dec 21, 2001",A Beautiful Mind,Based on Factual Book/Article,"$78,000,000","$367,151","$170,708,996","$269,239,236","$146,959,062","$317,668,058"
12,"Feb 9, 2001",Hannibal,Based on Fiction Book/Short Story,"$87,000,000","$58,003,121","$165,092,266","$265,722,703","$185,008,014","$350,100,280"
13,"Aug 10, 2001",American Pie 2,Original Screenplay,"$30,000,000","$45,117,985","$145,096,820","$233,539,223","$141,403,180","$286,500,000"
14,"Jun 22, 2001",The Fast and the Furious,Based on Factual Book/Article,"$38,000,000","$40,089,015","$144,512,310","$232,598,433","$62,000,000","$206,512,310"
15,"Jun 15, 2001",Lara Croft: Tomb Raider,Based on Game,"$94,000,000","$47,735,743","$131,144,183","$211,081,889","$142,186,002","$273,330,185"
16,"Jun 22, 2001",Dr. Dolittle 2,Remake,"$72,000,000","$25,037,039","$112,950,721","$181,798,768","$63,151,000","$176,101,721"
17,"Mar 30, 2001",Spy Kids,Original Screenplay,"$35,000,000","$26,546,881","$112,692,062","$181,382,450","$85,000,000","$197,692,062"
18,"Dec 28, 2001",Black Hawk Down,Based on Fiction Book/Short Story,"$95,000,000","$179,823","$108,638,745","$170,367,276","$51,052,340","$159,691,085"
19,"Aug 3, 2001",The Princess Diaries,Based on Fiction Book/Short Story,"$30,000,000","$22,862,269","$108,244,774","$174,223,539","$57,090,000","$165,334,774"
20,"Dec 14, 2001",Vanilla Sky,Remake,"$70,000,000","$25,015,518","$100,614,858","$161,131,941","$102,111,747","$202,726,605"
21,"Aug 10, 2001",The Others,Original Screenplay,"$17,000,000","$14,089,952","$96,522,687","$155,357,185","$111,242,369","$207,765,056"
22,"Jul 13, 2001",Legally Blonde,Original Screenplay,"$18,000,000","$20,377,426","$96,493,426","$155,310,086","$45,315,809","$141,809,235"
23,"Jul 20, 2001",America's Sweethearts,Original Screenplay,"$46,000,000","$30,181,877","$93,607,673","$150,665,352","$67,040,820","$160,648,493"
24,"Jul 4, 2001",Cats & Dogs,Original Screenplay,"$60,000,000","$21,707,617","$93,375,151","$150,291,095","$107,324,849","$200,700,000"
25,"Jun 8, 2001",Atlantis: The Lost Empire,Based on Fiction Book/Short Story,"$90,000,000","$329,011","$84,052,762","$135,286,333","$101,996,258","$186,049,020"
26,"Dec 21, 2001",Jimmy Neutron: Boy Genius,Based on TV,"$25,000,000","$13,832,786","$80,936,232","$129,497,356","$22,056,304","$102,992,536"
27,"Jun 29, 2001",Artificial Intelligence: AI,Based on Fiction Book/Short Story,"$90,000,000","$29,352,630","$78,616,689","$126,536,752","$157,283,311","$235,900,000"
28,"Oct 5, 2001",Training Day,Original Screenplay,"$45,000,000","$22,550,788","$76,261,036","$122,745,234","$28,244,326","$104,505,362"
29,"Apr 6, 2001",Along Came a Spider,Based on Fiction Book/Short Story,"$28,000,000","$16,712,407","$74,058,698","$119,200,478","$31,100,387","$105,159,085"
30,"Apr 13, 2001",Bridget Jones's Diary,Based on Fiction Book/Short Story,"$25,000,000","$10,733,933","$71,500,556","$115,083,050","$210,026,602","$281,527,158"
31,"Jul 4, 2001",Scary Movie 2,Original Screenplay,"$45,000,000","$20,503,356","$71,277,420","$114,723,897","$69,911,681","$141,189,101"
32,"Jul 13, 2001",The Score,Original Screenplay,"$68,000,000","$19,018,807","$71,069,884","$114,389,861","$42,472,207","$113,542,091"
33,"Nov 9, 2001",Shallow Hal,Original Screenplay,"$40,000,000","$22,518,295","$70,836,296","$113,930,015",$0,"$70,836,296"
34,"Jun 8, 2001",Swordfish,Original Screenplay,"$80,000,000","$18,145,632","$69,772,969","$112,302,423","$77,307,444","$147,080,413"
35,"Mar 2, 2001",The Mexican,Original Screenplay,"$40,000,000","$20,108,829","$66,808,615","$107,531,179","$78,429,635","$145,238,250"
36,"Feb 16, 2001",Down to Earth,Remake,"$30,000,000","$20,027,309","$64,172,251","$103,287,841","$7,000,000","$71,172,251"
37,"Nov 21, 2001",Spy Game,Original Screenplay,"$90,000,000","$21,689,125","$62,362,560","$100,337,294","$80,687,000","$143,049,560"
38,"Jan 26, 2001",The Wedding Planner,Original Screenplay,"$28,000,000","$13,510,293","$60,400,856","$97,217,629","$34,327,673","$94,728,529"
39,"Nov 30, 2001",Behind Enemy Lines,Original Screenplay,"$40,000,000","$18,736,133","$58,855,732","$94,516,751",$0,"$58,855,732"
40,"Dec 25, 2001",Ali,Based on Real Life Events,"$109,000,000","$14,710,892","$58,183,966","$93,287,247","$29,500,000","$87,683,966"
41,"May 18, 2001",Moulin Rouge,Original Screenplay,"$53,000,000","$167,540","$57,386,369","$92,352,352","$121,814,219","$179,200,588"
42,"Aug 17, 2001",Rat Race,Original Screenplay,"$48,000,000","$11,662,094","$56,607,223","$91,111,624","$30,000,000","$86,607,223"
43,"May 11, 2001",A Knight’s Tale,Original Screenplay,"$41,000,000","$16,511,391","$56,083,966","$90,269,414","$44,538,620","$100,622,586"
44,"Jun 1, 2001",The Animal,Original Screenplay,"$22,000,000","$19,610,520","$55,762,229","$89,751,565",$0,"$55,762,229"
45,"Sep 28, 2001",Don’t Say a Word,Based on Fiction Book/Short Story,"$50,000,000","$17,090,474","$54,997,476","$88,518,709","$49,490,907","$104,488,383"
46,"Apr 6, 2001",Blow,Based on Fiction Book/Short Story,"$30,000,000","$12,443,461","$52,990,775","$85,290,799","$30,291,521","$83,282,296"
47,"Dec 14, 2001",The Royal Tenenbaums,Original Screenplay,"$28,000,000","$276,981","$52,353,636","$82,949,839","$19,077,240","$71,430,876"
48,"Mar 16, 2001",Exit Wounds,Based on Fiction Book/Short Story,"$33,000,000","$18,485,586","$51,758,599","$83,307,561","$28,200,000","$79,958,599"
49,"Mar 16, 2001",Enemy at the Gates,Based on Real Life Events,"$85,000,000","$13,810,266","$51,396,781","$82,725,204","$45,574,512","$96,971,293"
50,"Aug 13, 2001",K-PAX,Based on Fiction Book/Short Story,"$48,000,000","$17,215,275","$50,315,140","$80,984,256",$0,"$50,315,140"
51,"Oct 5, 2001",Serendipity,Original Screenplay,"$28,000,000","$13,309,241","$50,255,310","$80,887,963","$27,221,987","$77,477,297"
52,"Dec 25, 2001",Kate and Leopold,Original Screenplay,"$48,000,000","$9,725,408","$47,095,453","$75,116,077","$23,842,325","$70,937,778"
53,"Nov 2, 2001",Domestic Disturbance,Original Screenplay,"$53,000,000","$14,033,112","$45,207,112","$72,745,418","$9,000,000","$54,207,112"
54,"Sep 28, 2001",Zoolander,Original Screenplay,"$28,000,000","$15,525,043","$45,172,250","$72,706,163","$15,608,731","$60,780,981"
55,"Nov 2, 2001",The One,Original Screenplay,"$49,000,000","$19,112,404","$43,905,746","$70,668,074","$28,783,380","$72,689,126"
56,"Oct 26, 2001",Thirteen Ghosts,Original Screenplay,"$19,000,000","$15,165,355","$41,867,960","$67,388,182","$26,600,000","$68,467,960"
57,"Oct 12, 2001",Bandits,Original Screenplay,"$75,000,000","$13,050,700","$41,523,271","$66,829,703","$30,000,000","$71,523,271"
58,"Dec 26, 2001",Gosford Park,Original Screenplay,"$18,000,000","$241,219","$41,300,105","$64,849,134",$0,"$41,300,105"
59,"Mar 23, 2001",Heartbreakers,Original Screenplay,"$38,000,000","$11,801,323","$40,334,024","$64,919,245","$17,419,801","$57,753,825"
60,"Dec 28, 2001",I Am Sam,Original Screenplay,"$22,000,000","$41,779","$40,270,895","$63,148,816","$52,271,523","$92,542,418"
61,"Sep 14, 2001",Hardball,Based on Fiction Book/Short Story,"$21,000,000","$9,386,342","$40,222,729","$64,737,008","$3,505,831","$43,728,560"
62,"Jun 8, 2001",Evolution,Original Screenplay,"$80,000,000","$13,408,351","$38,311,134","$61,663,322","$60,030,798","$98,341,932"
63,"Dec 14, 2001",Not Another Teen Movie,Original Screenplay,"$15,000,000","$12,615,116","$37,882,551","$60,864,056","$24,518,792","$62,401,343"
64,"Jul 6, 2001",Kiss of the Dragon,Original Screenplay,"$25,000,000","$13,304,027","$36,833,473","$59,284,965",$0,"$36,833,473"
65,"Nov 21, 2001",Black Knight,Original Screenplay,"$35,000,000","$11,102,948","$33,422,806","$53,733,850",$0,"$33,422,806"
66,"Mar 2, 2001",See Spot Run,Original Screenplay,"$16,000,000","$9,715,102","$33,357,476","$53,690,204","$9,700,076","$43,057,552"
67,"Apr 27, 2001",Driven,Original Screenplay,"$72,000,000","$12,174,504","$32,616,869","$52,498,170","$22,000,000","$54,616,869"
68,"Jun 1, 2001",What's the Worst That Could Happen?,Original Screenplay,"$30,000,000","$13,049,114","$32,267,774","$51,936,292","$6,194,297","$38,462,071"
69,"Jul 11, 2001",Final Fantasy: The Spirits Within,Based on Game,"$137,000,000","$11,408,853","$32,131,830","$51,717,479","$53,000,000","$85,131,830"
70,"Oct 19, 2001",From Hell,Based on Comic/Graphic Novel,"$35,000,000","$11,014,818","$31,598,308","$50,855,491","$37,114,057","$68,712,365"
71,"Aug 24, 2001",Jay and Silent Bob Strike Back,Spin-Off,"$22,000,000","$11,018,543","$30,059,386","$48,381,798","$3,703,014","$33,762,400"
72,"Jan 12, 2001",Double Take,Remake,"$24,000,000","$11,736,236","$29,823,162","$48,001,583",$0,"$29,823,162"
73,"Oct 19, 2001",Riding in Cars with Boys,Based on Real Life Events,"$47,000,000","$10,404,652","$29,781,453","$47,934,451",$0,"$29,781,453"
74,"Jun 27, 2001",Baby Boy,Original Screenplay,"$16,000,000","$8,606,403","$28,734,552","$46,249,420",$0,"$28,734,552"
75,"Dec 21, 2001",The Majestic,Original Screenplay,"$72,000,000","$4,904,339","$27,796,042","$44,558,613","$9,510,292","$37,306,334"
76,"Mar 30, 2001",Someone Like You,Based on Fiction Book/Short Story,"$23,000,000","$10,010,600","$27,338,033","$44,001,674","$11,346,873","$38,684,906"
77,"Apr 11, 2001",Joe Dirt,Original Screenplay,"$16,000,000","$8,016,008","$27,087,695","$43,598,738","$3,900,000","$30,987,695"
78,"Sep 7, 2001",The Musketeer,Based on Fiction Book/Short Story,"$40,000,000","$10,312,740","$27,053,815","$43,544,206",$0,"$27,053,815"
79,"Apr 20, 2001",Crocodile Dundee in Los Angeles,Original Screenplay,"$25,000,000","$7,714,362","$25,590,119","$41,188,332","$13,802,992","$39,393,111"
80,"Aug 17, 2001",Captain Corelli's Mandolin,Based on Fiction Book/Short Story,"$57,000,000","$7,209,345","$25,528,495","$41,089,143","$36,569,000","$62,097,495"
81,"Feb 16, 2001",Sweet November,Remake,"$40,000,000","$11,015,226","$25,288,103","$40,702,223","$40,466,125","$65,754,228"
82,"Mar 9, 2001",15 Minutes,Original Screenplay,"$42,000,000","$10,523,154","$24,375,436","$39,233,254","$31,956,428","$56,331,864"
83,"Sep 28, 2001",Hearts in Atlantis,Based on Fiction Book/Short Story,"$31,000,000","$9,021,494","$24,185,781","$38,927,996","$6,700,000","$30,885,781"
84,"May 18, 2001",Angel Eyes,Original Screenplay,"$38,000,000","$9,225,575","$24,044,532","$38,700,647","$5,500,000","$29,544,532"
85,"Nov 9, 2001",Heist,Original Screenplay,"$35,000,000","$7,823,521","$23,483,357","$37,797,417","$5,423,460","$28,906,817"
86,"Dec 21, 2001",Joe Somebody,Original Screenplay,"$38,000,000","$3,553,725","$22,770,864","$36,525,570","$1,745,126","$24,515,990"
